Landmarks,Latitude,Longitude
B100 West,49.2094132,-123.0668343
B100 East,49.2101818,-123.0654316
Fraserview Park,49.2147865,-123.065217
Sir James Douglas Elem School,49.2149968,-123.065217
Harvest City Church,49.2171328,-123.0654426
Young Kwang Presb church,49.2171328,-123.0654426
Van Pub Lib-Fraserview,49.2199029,-123.0653913
Qawsain Knowledge house,49.2198168,-123.0654333
Van Dental,49.2209953,-123.0653127
MJ's Natural Pharm,49.223583,-123.0668912
B49/B430 Westbound,49.2254994,-123.0656734
B49/B430 Eastbound,49.2254994,-123.0656734
South Van Neighbourhood House,49.2255249,-123.0666016
Value Village,49.2266039,-123.0652176
Victoria Medical centre,49.2269543,-123.0661675
VRTAS,49.2310728,-123.0650171
LifeLabs,49.231847,-123.0648079
All Smiles Dental,49.231886,-123.065779
BR4/B41 Eastbound,49.232716,-123.065049
BR4/B41 Westbound,49.232793,-123.066149
All Smiles Dental,49.235255,-123.065301
Jones Park,49.23598,-123.067125
Continental Pharm,49.236709,-123.065226
Developmental Disabilities Assn,49.237105,-123.063987
B33 Westbound,49.240037,-123.064947
B33 Eastbound,49.239816,-123.06484
88 Supermarket,49.241319,-123.0655
Victoria Drive Gospel Hall,49.242993,-123.065511
B19/B25 Eastbound,49.244765,-123.064604
B19/B25 Westbound,49.245525,-123.065682
Greater Vancouver Baptist Church,49.245665,-123.064969
Miracle Life Church Vancouver,49.246579,-123.064964
Brewers Park,49.247745,-123.066434
Mai Lodging,49.247286,-123.066112
Cedar Cottage Neighbourhood House,49.248911,-123.065425
Vancouver-Japanese United Church,49.249265,-123.064856
Lakeview Long Term Care,49.253593,-123.066546
Ministry of Children and Family Development Trout Lake Office,49.254027,-123.066422
Little Cedar School Age Care,49.253523,-123.067838
West Coast Allergy & Immunology Clinic,49.253604,-123.068187
Care Institute Of Safety & Health Inc,49.254175,-123.06818
Lost Boys Studios | School of Visual Effects,49.254253,-123.067559
Croatian Cultural Centre,49.255433,-123.068385
Clark Park Softball Diamond,49.256869,-123.070922
Stratford Hall,49.257615,-123.069597
CEFA Early Learning Vancouver - Commercial Drive,49.258098,-123.069656
Vancouver Foot Pain: Dr. Heather Bui & Dr. Ian Yu,49.260643,-123.069554
LifeLabs Medical Laboratory Services,49.261256,-123.068465
Commercial-Broadway Station @ Bay 1,49.26245,-123.069436
Commercial-Broadway Station @ Bay 2,49.262429,-123.068755
B99/B9 Eastbound,49.262219,-123.06897
Ministry of Social Development and Social Innovation,49.263973,-123.069571
City Avenue Market,49.264176,-123.069957
Drive Youth Employment Services,49.26572,-123.069533
McSpadden Park,49.266084,-123.066556
Commercial Drive Accommodations,49.269434,-123.068734
Shoppers Simply Pharmacy,49.271149,-123.069759
Canada Post,49.271776,-123.069496
Victoria Park,49.271688,-123.066803
A & A Dental Centre,49.273197,-123.069319
Grandview Park,49.27348,-123.070467
REACH Community Health Centre,49.274438,-123.069747
Britannia Secondary School,49.275411,-123.070997
Salsbury Park,49.277388,-123.068218
Aries Program,49.280541,-123.070718
Canada Post,49.28188,-123.072801
Vancouver Film School (VFS) Makeup Design Industrial Prosthetic Campus,49.282184,-123.078003
"Vancouver Public Library, Strathcona Branch",49.280893,-123.088903
New Life Pharmacy,49.281502,-123.094053
First United Church Community Ministry Society,49.281176,-123.097203
Vancouver Film School,49.282131,-123.109461
VGC International College,49.283797,-123.11107
