StopID,Name,AtStreet,BayNo,City,Lat,Long,OnStreet,Routes,WheelchairAccess
51202,WB HARRISON DR NS VICTORIA DR,VICTORIA DR,N,VANCOUVER,49.210673,-123.065781,HARRISON DR,020,True
51203,NB VICTORIA DR FS FRASERVIEW DR,FRASERVIEW DR,N,VANCOUVER,49.212765,-123.065964,VICTORIA DR,"020, N20",True
51204,NB VICTORIA DR FS E 61 AVE,E 61 AVE,N,VANCOUVER,49.214832,-123.065913,VICTORIA DR,"020, N20",True
51205,NB VICTORIA DR FS BRIGADOON AVE,BRIGADOON AVE,N,VANCOUVER,49.21691,-123.065874,VICTORIA DR,"020, N20",True
51206,NB VICTORIA DR FS UPLAND DR,UPLAND DR,N,VANCOUVER,49.218398,-123.065832,VICTORIA DR,"020, N20",True
51207,NB VICTORIA DR FS E 54 AVE,E 54 AVE,N,VANCOUVER,49.220662,-123.065738,VICTORIA DR,"020, N20",True
51208,NB VICTORIA DR FS E 51 AVE,E 51 AVE,N,VANCOUVER,49.223425,-123.065653,VICTORIA DR,"020, N20",True
51209,NB VICTORIA DR FS E 49 AVE,E 49 AVE,N,VANCOUVER,49.225458,-123.065603,VICTORIA DR,"020, N20",True
51210,NB VICTORIA DR FS WAVERLEY AVE,WAVERLEY AVE,N,VANCOUVER,49.227465,-123.065556,VICTORIA DR,"020, N20",True
51211,NB VICTORIA DR FS E 45 AVE,E 45 AVE,N,VANCOUVER,49.229847,-123.065483,VICTORIA DR,"020, N20",True
51212,NB VICTORIA DR FS E 43 AVE,E 43 AVE,N,VANCOUVER,49.231503,-123.065432,VICTORIA DR,"020, N20",True
50652,NB VICTORIA DR FS E 41 AVE,E 41 AVE,N,VANCOUVER,49.233152,-123.065403,VICTORIA DR,"020, N20",True
50653,NB VICTORIA DR NS E 39 AVE,E 39 AVE,N,VANCOUVER,49.234784,-123.065348,VICTORIA DR,"020, N20",True
50654,NB VICTORIA DR FS E 38 AVE,E 38 AVE,N,VANCOUVER,49.236203,-123.065307,VICTORIA DR,"020, N20",True
50655,NB VICTORIA DR FS E 36 AVE,E 36 AVE,N,VANCOUVER,49.237698,-123.065288,VICTORIA DR,"020, N20",True
50656,NB VICTORIA DR FS E 33 AVE,E 33 AVE,N,VANCOUVER,49.24032,-123.065188,VICTORIA DR,"020, N20",True
50657,NB VICTORIA DR FS E 32 AVE,E 32 AVE,N,VANCOUVER,49.241893,-123.065138,VICTORIA DR,"020, N20",True
50658,NB VICTORIA DR NS KINGSWAY,KINGSWAY,N,VANCOUVER,49.244828,-123.065039,VICTORIA DR,"020, N20",True
51213,NB VICTORIA DR FS E 26 AVE,E 26 AVE,N,VANCOUVER,49.247959,-123.064952,VICTORIA DR,"020, N20",True
51215,NB VICTORIA DR FS E 22 AVE,E 22 AVE,N,VANCOUVER,49.250596,-123.064898,VICTORIA DR,"020, N20",True
51216,NB VICTORIA DIVERSION FS VICTORIA DR,VICTORIA DR,N,VANCOUVER,49.253274,-123.066572,VICTORIA DIVERSION,"020, N20",True
51217,NB COMMERCIAL DR FS FINDLAY ST,FINDLAY ST,N,VANCOUVER,49.254682,-123.068394,COMMERCIAL DR,"020, N20",True
