DAuid,DApop_2016,DAtdwell_2016,DAurdwell_2016,DAarea,DAir_2016,DArplamx,DArplamy,DArplat,DArplong,PRuid,CDcode,ADAcode,DAcode,ERcode,CCScode,CSDcode,CMAuid,CTname,CTcode
59150307,632,273,254,0.2994,0,4025164.39560988,2004585.26635257,49.287698,-123.026031,59,15,0059,0307,20,022,022,933,0053.02,5286
59150308,501,223,203,0.1095,0,4024986.05501436,2004256.17316961,49.284329,-123.026065,59,15,0059,0308,20,022,022,933,0053.02,5286
59150309,745,299,269,0.1118,0,4024663.90715571,2004195.64454506,49.282483,-123.029585,59,15,0059,0309,20,022,022,933,0053.02,5286
59150310,536,310,283,0.1095,0,4024865.92135482,2003948.72130039,49.281378,-123.025534,59,15,0059,0310,20,022,022,933,0053.02,5286
59150311,532,199,181,0.081,0,4024530.60083524,2003835.42418238,49.279058,-123.028871,59,15,0059,0311,20,022,022,933,0053.02,5286
59150312,562,211,203,0.0872,0,4024697.40999043,2003670.9798152,49.278458,-123.025781,59,15,0059,0312,20,022,022,933,0053.02,5286
59150313,1088,418,402,0.1728,0,4024538.68440612,2003448.13700929,49.276016,-123.026266,59,15,0076,0313,20,022,022,933,0052.02,3879
59150328,556,181,170,0.2323,0,4024402.47210612,2003167.30761929,49.273209,-123.026101,59,15,0076,0328,20,022,022,933,0052.02,3879
59150329,959,356,333,0.3084,0,4023914.70434615,2003386.93295777,49.272887,-123.033444,59,15,0076,0329,20,022,022,933,0052.02,3879
59150330,506,189,174,0.0783,0,4023865.29983585,2003615.69526783,49.274494,-123.035524,59,15,0076,0330,20,022,022,933,0052.02,3879
59150331,782,307,275,0.1543,0,4023548.21083431,2003446.98516523,49.271811,-123.03828,59,15,0076,0331,20,022,022,933,0052.02,3879
59150332,683,264,246,0.1119,0,4023513.52044509,2003780.57060965,49.274313,-123.040862,59,15,0076,0332,20,022,022,933,0052.02,3879
59150333,541,202,185,0.0997,0,4023250.97284517,2003511.45440824,49.271064,-123.042305,59,15,0076,0333,20,022,022,933,0052.02,3879
59150334,507,208,192,0.0879,0,4023131.26676352,2003891.7852,49.273577,-123.046221,59,15,0069,0334,20,022,022,933,0054.02,5288
59150335,618,225,213,0.0957,0,4022957.12543081,2003631.05817066,49.270768,-123.046646,59,15,0069,0335,20,022,022,933,0054.02,5288
59150336,597,224,211,0.1358,0,4022695.98772229,2003864.49688901,49.271515,-123.051327,59,15,0069,0336,20,022,022,933,0054.02,5288
59150337,449,177,163,0.0979,0,4022499.71447212,2003996.59627892,49.271733,-123.054564,59,15,0069,0337,20,022,022,933,0054.02,5288
59150338,513,183,169,0.0753,0,4022638.40424628,2004247.09450114,49.274309,-123.054504,59,15,0069,0338,20,022,022,933,0054.02,5288
59150339,631,237,226,0.0971,0,4022356.47513749,2004379.76492447,49.274168,-123.058785,59,15,0069,0339,20,022,022,933,0054.01,5287
59150340,581,209,198,0.0793,0,4022773.7611107,2004427.88573519,49.276319,-123.054032,59,15,0069,0340,20,022,022,933,0054.02,5288
59150341,494,181,178,0.0647,0,4022370.50885285,2004734.91546083,49.277047,-123.060916,59,15,0069,0341,20,022,022,933,0054.01,5287
59150342,445,195,184,0.0802,0,4022307.29855461,2004560.47377002,49.275394,-123.060552,59,15,0069,0342,20,022,022,933,0054.01,5287
