,Unnamed: 0,DBuid/IDidu, DBpop2016/IDpop2016, DBtdwell2016/IDtlog2016, DBurdwell2016/IDrh2016, DBarea2016/IDsup2016, DBir2016/IDri2016, DAuid/ADidu, DArplamx/ADlamx, DArplamy/ADlamy, DArplat/Adlat, DArplong/ADlong, PRuid/PRidu, PRname/PRnom, PRename/PRanom, PRfname/PRfnom, PReabbr/PRaabbrev, PRfabbr/PRfabbrev, FEDuid/CEFidu, FEDname/CEFnom, ERuid/REidu, ERname/REnom, CDuid/DRidu, CDname/DRnom, CDtype/DRgenre, ADAuid/ADAidu, ADAcode, CSDuid/SDRidu, CSDname/SDRnom, CSDtype/SDRgenre, SACtype/CSSgenre, SACcode/CSScode, CCSuid/SRUidu, CCSname/SRUnom, DPLuid/LDidu, DPLname/LDnom, DPLtype/LDgenre, CMAPuid/RMRPidu, CMAuid/RMRidu, CMAname/RMRnom, CMAtype/RMRgenre, CTuid/SRidu, CTcode/SRcode, CTname/SRnom, POPCTRRAPuid/CTRPOPRRPidu, POPCTRRAuid/CTRPOPRRidu, POPCTRRAname/CTRPOPRRnom, POPCTRRAtype/CTRPOPRRgenre, POPCTRRAclass/CTRPOPRRclasse,hasCloseStop
0,445092,59151369002,244.0,71.0,69.0,0.0385,F,59151369,4022986.15824422,2001437.86025433,49.253475,-123.032096,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150096,96,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.02,2958,36.02,590973,973,Vancouver,1,4,1
1,445094,59151364002,161.0,56.0,55.0,0.0179,F,59151364,4022284.61519373,2001400.1511629,49.250204,-123.040363,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150091,91,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.01,2957,36.01,590973,973,Vancouver,1,4,1
2,445095,59151373002,347.0,140.0,124.0,0.1095,F,59151373,4023369.38146518,2001164.87014146,49.25293,-123.025681,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150096,96,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.02,2958,36.02,590973,973,Vancouver,1,4,1
3,445098,59151365003,136.0,52.0,46.0,0.0167,F,59151365,4022499.12786288,2001613.60367827,49.252807,-123.039142,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150091,91,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.01,2957,36.01,590973,973,Vancouver,1,4,1
4,445153,59151449001,134.0,83.0,77.0,0.0235,F,59151449,4021838.22378131,2001493.29482258,49.249052,-123.04638,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150100,100,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330035.01,4898,35.01,590973,973,Vancouver,1,4,1
5,445155,59151365002,117.0,48.0,39.0,0.0167,F,59151365,4022499.12786288,2001613.60367827,49.252807,-123.039142,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150091,91,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.01,2957,36.01,590973,973,Vancouver,1,4,1
6,445156,59150431006,133.0,55.0,46.0,0.0202,F,59150431,4021641.01828559,2001635.60923602,49.249346,-123.049693,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150100,100,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330035.01,4898,35.01,590973,973,Vancouver,1,4,1
7,445157,59151369001,316.0,106.0,101.0,0.0475,F,59151369,4022986.15824422,2001437.86025433,49.253475,-123.032096,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150096,96,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.02,2958,36.02,590973,973,Vancouver,1,4,1
8,445158,59151367002,123.0,41.0,37.0,0.0167,F,59151367,4022792.55822406,2001790.59655443,49.255456,-123.036728,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150091,91,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.01,2957,36.01,590973,973,Vancouver,1,4,1
9,445159,59151366003,122.0,43.0,43.0,0.0154,F,59151366,4022389.2142797005,2001789.49475448,49.253738,-123.041614,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150091,91,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.01,2957,36.01,590973,973,Vancouver,1,4,1
10,445161,59151448002,110.0,42.0,36.0,0.0187,F,59151448,4021997.93495048,2001792.30628963,49.25210300000001,-123.046378,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150084,84,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330035.02,4899,35.02,590973,973,Vancouver,1,4,1
11,445162,59151366004,0.0,0.0,0.0,0.0809,F,59151366,4022389.2142797005,2001789.49475448,49.253738,-123.041614,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150091,91,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.01,2957,36.01,590973,973,Vancouver,1,4,1
12,445163,59151367001,81.0,34.0,34.0,0.0164,F,59151367,4022792.55822406,2001790.59655443,49.255456,-123.036728,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150091,91,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.01,2957,36.01,590973,973,Vancouver,1,4,1
13,445167,59151444008,251.0,95.0,79.0,0.0932,F,59151444,4023462.26746695,2001636.45896587,49.257069,-123.027605,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150096,96,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.02,2958,36.02,590973,973,Vancouver,1,4,1
14,445168,59150428006,126.0,46.0,45.0,0.0172,F,59150428,4021797.56213084,2002127.55071457,49.253916,-123.050979,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150084,84,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330035.02,4899,35.02,590973,973,Vancouver,1,4,1
15,445169,59151443005,103.0,36.0,34.0,0.017,F,59151443,4022904.99178819,2001958.39931143,49.257265,-123.03645,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150091,91,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.01,2957,36.01,590973,973,Vancouver,1,4,1
16,445170,59151442003,81.0,30.0,27.0,0.0161,F,59151442,4022548.70931121,2002094.96468727,49.25684,-123.041656,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150091,91,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330036.01,2957,36.01,590973,973,Vancouver,1,4,1
17,445171,59150710004,106.0,55.0,44.0,0.0137,F,59150710,4019456.28255298,2004356.60377601,49.26168300000001,-123.093819,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59035,Vancouver East / Vancouver-Est,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150070,70,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330038.0,2265,38.0,590973,973,Vancouver,1,4,1
18,445172,59150678004,148.0,69.0,64.0,0.0205,F,59150678,4017843.68738989,2004229.87032996,49.253833,-123.112551,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59036,Vancouver Granville,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150071,71,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330031.01,4268,31.01,590973,973,Vancouver,1,4,1
19,445173,59150682001,121.0,55.0,53.0,0.0207,F,59150682,4018310.4286778,2004134.11160769,49.255054,-123.106271,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59036,Vancouver Granville,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150071,71,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330031.01,4268,31.01,590973,973,Vancouver,1,4,1
20,445174,59151435002,98.0,63.0,51.0,0.0127,F,59151435,4021836.1545663,2004221.30633329,49.270704,-123.064072,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59035,Vancouver East / Vancouver-Est,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150069,69,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330054.01,5287,54.01,590973,973,Vancouver,1,4,1
21,445175,59150749004,221.0,154.0,129.0,0.0146,F,59150749,4020881.70954748,2004066.06670774,49.265424,-123.074646,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59035,Vancouver East / Vancouver-Est,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150065,65,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330050.02,3877,50.02,590973,973,Vancouver,1,4,1
22,445176,59150658004,89.0,33.0,33.0,0.0118,F,59150658,4016902.5387936006,2004398.69357871,49.251176,-123.125056,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59036,Vancouver Granville,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150064,64,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330029.0,2256,29.0,590973,973,Vancouver,1,4,1
23,445177,59150678002,177.0,92.0,88.0,0.0206,F,59150678,4017843.68738989,2004229.87032996,49.253833,-123.112551,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59036,Vancouver Granville,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150071,71,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330031.01,4268,31.01,590973,973,Vancouver,1,4,1
24,445178,59150726001,91.0,49.0,42.0,0.0153,F,59150726,4019607.40391357,2004154.78673965,49.260722,-123.090678,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59035,Vancouver East / Vancouver-Est,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150070,70,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330038.0,2265,38.0,590973,973,Vancouver,1,4,1
25,445179,59150674001,82.0,28.0,26.0,0.0142,F,59150674,4017139.86070904,2004110.99714473,49.249901,-123.120313,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59036,Vancouver Granville,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150064,64,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330029.0,2256,29.0,590973,973,Vancouver,1,4,1
26,445181,59153227005,137.0,47.0,45.0,0.0177,F,59153227,4023530.04240672,2004322.13104072,49.27868400000001,-123.044168,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59035,Vancouver East / Vancouver-Est,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150059,59,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330053.01,5285,53.01,590973,973,Vancouver,1,4,1
27,445182,59150353003,135.0,81.0,78.0,0.0142,F,59150353,4021231.13362703,2004319.05047893,49.268914,-123.072046,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59035,Vancouver East / Vancouver-Est,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150065,65,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330050.02,3877,50.02,590973,973,Vancouver,1,4,1
